Fiyat,Lokasyon,m2,Oda,Tarih
14.000 TL,KöylerÇobanlı Mh.,60,1+1,18 Aralık  2025
21.000 TL,AtakumMevlana Mah.,120,3+1,18 Aralık  2025
10.000 TL,KurupelitKörfez Mh.,55,1+1,23 Aralık  2025
23.000 TL,AtakumEsenevler Mah.,104,2+1,18 Aralık  2025
12.000 TL,KöylerBalaç Mh.,55,1+1,18 Aralık  2025
13.000 TL,Atakumİstiklal Mh.,55,1+1,18 Aralık  2025
16.500 TL,AtakumEsenevler Mah.,60,1+1,18 Aralık  2025
34.500 TL,KurupelitKörfez Mh.,135,3+1,18 Aralık  2025
15.000 TL,AtakumDenizevleri Mah.,135,3+1,18 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,45,1+1,18 Aralık  2025
16.000 TL,AtakentYenimahalle Mah.,55,1+1,19 Aralık  2025
43.000 TL,AtakumMimarsinan Mah.,165,3+1,18 Aralık  2025
18.000 TL,AtakentGüzelyalı Mh.,60,1+1,18 Aralık  2025
13.000 TL,AtakumMevlana Mah.,55,1+1,18 Aralık  2025
21.000 TL,AtakumEsenevler Mah.,55,1+1,18 Aralık  2025
16.500 TL,KurupelitKörfez Mh.,65,1+1,19 Aralık  2025
28.000 TL,AtakentYenimahalle Mah.,150,3+1,18 Aralık  2025
20.000 TL,KurupelitKörfez Mh.,70,1+1,19 Aralık  2025
15.750 TL,KurupelitKörfez Mh.,50,1+1,18 Aralık  2025
10.500 TL,KurupelitKörfez Mh.,55,1+1,18 Aralık  2025
25.500 TL,AtakentGüzelyalı Mh.,48,1+1,19 Aralık  2025
12.000 TL,AtakentYenimahalle Mah.,55,1+1,18 Aralık  2025
12.000 TL,KurupelitKörfez Mh.,53,1+1,18 Aralık  2025
12.500 TL,KurupelitKörfez Mh.,50,1+1,19 Aralık  2025
15.490 TL,KurupelitKörfez Mh.,60,1+1,20 Aralık  2025
16.000 TL,AtakumEsenevler Mah.,120,3+1,18 Aralık  2025
12.000 TL,KurupelitKörfez Mh.,55,1+1,18 Aralık  2025
21.999 TL,AtakentYenimahalle Mah.,60,1+1,20 Aralık  2025
25.000 TL,AtakentGüzelyalı Mh.,200,3+1,18 Aralık  2025
21.000 TL,KurupelitKörfez Mh.,150,3+1,18 Aralık  2025
14.500 TL,AtakentYenimahalle Mah.,55,1+1,20 Aralık  2025
14.750 TL,KurupelitKörfez Mh.,70,1+1,19 Aralık  2025
12.000 TL,MerkezAlanlı Mh.,55,1+1,18 Aralık  2025
12.000 TL,KurupelitKörfez Mh.,55,1+1,18 Aralık  2025
13.500 TL,AtakumEsenevler Mah.,110,2+1,19 Aralık  2025
13.500 TL,AtakumMimarsinan Mah.,110,2+1,18 Aralık  2025
14.000 TL,KurupelitKörfez Mh.,60,1+1,20 Aralık  2025
3.000 TL,KurupelitKörfez Mh.,48,1+1,18 Aralık  2025
24.000 TL,Atakumİstiklal Mh.,105,2+1,18 Aralık  2025
55.000 TL,KöylerBüyükoyumca Mh.,220,4+1,18 Aralık  2025
15.500 TL,AtakentYenimahalle Mah.,55,1+1,20 Aralık  2025
18.000 TL,AtakentAtakent Mh.,60,1+1,18 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,50,1+1,18 Aralık  2025
15.250 TL,KurupelitKörfez Mh.,52,1+1,21 Aralık  2025
36.500 TL,KöylerKüçükkolpınar Mh.,165,4+1,18 Aralık  2025
24.500 TL,AtakumBeypınar Mh.,100,2+1,18 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,55,1+1,18 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,62,1+1,18 Aralık  2025
11.000 TL,KurupelitKörfez Mh.,55,1+1,20 Aralık  2025
15.000 TL,AtakentYenimahalle Mah.,70,1+1,20 Aralık  2025
21.000 TL,KurupelitKörfez Mh.,120,2+1,20 Aralık  2025
19.500 TL,MerkezAlanlı Mh.,140,4+1,18 Aralık  2025
15.000 TL,AtakumMevlana Mah.,60,1+1,18 Aralık  2025
18.500 TL,KurupelitKörfez Mh.,65,1+1,18 Aralık  2025
11.500 TL,KurupelitKörfez Mh.,60,1+1,20 Aralık  2025
39.000 TL,AtakumMevlana Mah.,190,3+1,19 Aralık  2025
17.000 TL,KöylerBüyükoyumca Mh.,50,1+1,18 Aralık  2025
18.000 TL,KöylerBalaç Mh.,100,2+1,18 Aralık  2025
22.000 TL,AtakumMevlana Mah.,110,2+1,18 Aralık  2025
12.500 TL,AtakentYenimahalle Mah.,38,Stüdyo (1+0),18 Aralık  2025
26.500 TL,AtakumCumhuriyet Mah.,145,3+1,20 Aralık  2025
25.000 TL,KöylerKüçükkolpınar Mh.,110,2+1,18 Aralık  2025
27.000 TL,AtakentGüzelyalı Mh.,55,1+1,18 Aralık  2025
13.000 TL,AtakentYenimahalle Mah.,50,1+1,13 Aralık  2025
15.000 TL,KöylerKüçükkolpınar Mh.,150,3+1,18 Aralık  2025
11.500 TL,Atakumİstiklal Mh.,55,1+1,18 Aralık  2025
13.000 TL,KurupelitKörfez Mh.,60,1+1,18 Aralık  2025
16.000 TL,KurupelitKörfez Mh.,65,1+1,20 Aralık  2025
12.000 TL,AtakumMimarsinan Mah.,40,Stüdyo (1+0),18 Aralık  2025
29.950 TL,AtakentGüzelyalı Mh.,170,3+1,18 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,55,1+1,20 Aralık  2025
27.000 TL,AtakumDenizevleri Mah.,120,3+1,11 Aralık  2025
15.000 TL,AtakumCumhuriyet Mah.,65,1+1,18 Aralık  2025
33.000 TL,AtakentGüzelyalı Mh.,90,2+1,18 Aralık  2025
18.500 TL,AtakentYenimahalle Mah.,37,Stüdyo (1+0),18 Aralık  2025
11.500 TL,KurupelitKörfez Mh.,55,1+1,24 Aralık  2025
15.000 TL,Altınkumİncesu Yalı Mh.,55,1+1,18 Aralık  2025
15.000 TL,KöylerBüyükoyumca Mh.,130,3+1,19 Aralık  2025
15.000 TL,AtakumÇakırlar Yalı Mh.,60,1+1,18 Aralık  2025
30.000 TL,AtakentYenimahalle Mah.,95,2+1,19 Aralık  2025
16.000 TL,KurupelitKörfez Mh.,62,1+1,18 Aralık  2025
20.000 TL,AtakumMevlana Mah.,60,1+1,20 Aralık  2025
16.000 TL,AtakumEsenevler Mah.,90,2+1,18 Aralık  2025
17.000 TL,AtakumCumhuriyet Mah.,50,1+1,17 Aralık  2025
14.500 TL,KurupelitKörfez Mh.,43,1+1,20 Aralık  2025
15.500 TL,KöylerBüyükoyumca Mh.,55,1+1,18 Aralık  2025
13.000 TL,KöylerBalaç Mh.,60,1+1,17 Aralık  2025
20.000 TL,AtakentYenimahalle Mah.,95,2+1,17 Aralık  2025
36.000 TL,AtakumMevlana Mah.,150,3+1,17 Aralık  2025
17.500 TL,KöylerBalaç Mh.,75,2+1,17 Aralık  2025
12.000 TL,AtakentAtakent Mh.,50,1+1,17 Aralık  2025
13.000 TL,KöylerBüyükoyumca Mh.,120,3+1,17 Aralık  2025
15.000 TL,KöylerÇobanlı Mh.,60,1+1,18 Aralık  2025
26.000 TL,AtakumCumhuriyet Mah.,140,3+1,17 Aralık  2025
11.000 TL,AtakentYenimahalle Mah.,60,1+1,17 Aralık  2025
14.000 TL,KurupelitKörfez Mh.,80,1+1,20 Aralık  2025
15.000 TL,AtakumCumhuriyet Mah.,100,2+1,18 Aralık  2025
23.000 TL,AtakumEsenevler Mah.,130,3+1,17 Aralık  2025
65.000 TL,Altınkumİncesu Yalı Mh.,348,7+1,17 Aralık  2025
17.000 TL,AtakentYenimahalle Mah.,50,1+1,19 Aralık  2025
14.250 TL,KurupelitKörfez Mh.,65,1+1,17 Aralık  2025
25.500 TL,AtakumCumhuriyet Mah.,135,3+1,17 Aralık  2025
23.000 TL,KurupelitKörfez Mh.,120,2+1,17 Aralık  2025
11.000 TL,KurupelitKörfez Mh.,60,1+1,19 Aralık  2025
18.250 TL,KurupelitKörfez Mh.,100,2+1,19 Aralık  2025
33.000 TL,AtakumMevlana Mah.,170,3+1,17 Aralık  2025
16.500 TL,AtakumBeypınar Mh.,55,1+1,17 Aralık  2025
25.000 TL,AtakumCumhuriyet Mah.,130,3+1,17 Aralık  2025
18.000 TL,KöylerBüyükoyumca Mh.,135,3+1,17 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,60,1+1,17 Aralık  2025
15.000 TL,AtakentYenimahalle Mah.,60,1+1,19 Aralık  2025
27.500 TL,AtakumMevlana Mah.,160,3+1,18 Aralık  2025
17.500 TL,AtakentAtakent Mh.,100,3+1,17 Aralık  2025
14.500 TL,AtakentAtakent Mh.,55,1+1,18 Aralık  2025
15.000 TL,KöylerBüyükoyumca Mh.,55,1+1,18 Aralık  2025
30.000 TL,AtakumMimarsinan Mah.,155,3+1,17 Aralık  2025
19.000 TL,KöylerBüyükoyumca Mh.,130,3+1,17 Aralık  2025
18.000 TL,KöylerKüçükkolpınar Mh.,150,3+1,17 Aralık  2025
12.000 TL,Altınkumİncesu Yalı Mh.,55,1+1,17 Aralık  2025
13.000 TL,KurupelitKörfez Mh.,49,1+1,21 Aralık  2025
35.000 TL,AtakentGüzelyalı Mh.,140,4+1,17 Aralık  2025
16.500 TL,AtakentYenimahalle Mah.,125,2+1,18 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,50,1+1,18 Aralık  2025
40.000 TL,KurupelitKörfez Mh.,150,3+1,19 Aralık  2025
30.000 TL,KurupelitKörfez Mh.,90,2+1,18 Aralık  2025
22.500 TL,KöylerBüyükkolpınar Mh.,130,3+1,17 Aralık  2025
15.000 TL,KöylerBüyükoyumca Mh.,55,1+1,18 Aralık  2025
11.000 TL,KurupelitKörfez Mh.,70,1+1,19 Aralık  2025
15.000 TL,AtakentYenimahalle Mah.,55,1+1,17 Aralık  2025
12.500 TL,AtakumMevlana Mah.,60,1+1,17 Aralık  2025
35.000 TL,AtakentYenimahalle Mah.,150,3+1,18 Aralık  2025
15.500 TL,KurupelitKörfez Mh.,60,1+1,20 Aralık  2025
20.500 TL,AtakumCumhuriyet Mah.,140,3+1,17 Aralık  2025
31.000 TL,AtakentGüzelyalı Mh.,220,4+1,18 Aralık  2025
25.000 TL,AtakumCumhuriyet Mah.,180,3+1,17 Aralık  2025
25.000 TL,AtakumMimarsinan Mah.,140,3+1,17 Aralık  2025
20.500 TL,AtakentYenimahalle Mah.,145,3+1,17 Aralık  2025
13.000 TL,Atakumİncesu Mh.,50,1+1,17 Aralık  2025
16.500 TL,AtakentYenimahalle Mah.,65,1+1,19 Aralık  2025
17.500 TL,AtakumMevlana Mah.,120,3+1,17 Aralık  2025
20.000 TL,AtakentAtakent Mh.,55,1+1,17 Aralık  2025
17.000 TL,AtakentYenimahalle Mah.,60,1+1,17 Aralık  2025
23.000 TL,KöylerBalaç Mh.,100,2+1,17 Aralık  2025
14.000 TL,KurupelitKörfez Mh.,43,1+1,17 Aralık  2025
9.950 TL,KurupelitKörfez Mh.,55,1+1,21 Aralık  2025
10.000 TL,Atakumİstiklal Mh.,50,1+1,17 Aralık  2025
20.000 TL,KurupelitKörfez Mh.,110,2+1,18 Aralık  2025
13.000 TL,KurupelitKörfez Mh.,45,1+1,17 Aralık  2025
15.500 TL,KurupelitKörfez Mh.,100,2+1,17 Aralık  2025
20.000 TL,MerkezAlanlı Mh.,110,2+1,17 Aralık  2025
15.500 TL,KurupelitKörfez Mh.,55,1+1,17 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,55,1+1,18 Aralık  2025
16.000 TL,KurupelitKörfez Mh.,54,1+1,18 Aralık  2025
17.750 TL,KöylerBalaç Mh.,87,2+1,17 Aralık  2025
13.000 TL,KöylerBalaç Mh.,50,1+1,18 Aralık  2025
14.000 TL,KurupelitKörfez Mh.,50,1+1,17 Aralık  2025
13.200 TL,KurupelitKörfez Mh.,60,1+1,20 Aralık  2025
16.000 TL,Atakumİstiklal Mh.,160,3+1,17 Aralık  2025
20.000 TL,KöylerBüyükoyumca Mh.,110,2+1,18 Aralık  2025
35.000 TL,KurupelitKörfez Mh.,65,1+1,20 Aralık  2025
13.000 TL,KurupelitKörfez Mh.,60,1+1,20 Aralık  2025
26.000 TL,KöylerBüyükkolpınar Mh.,120,2+1,17 Aralık  2025
21.500 TL,KurupelitKörfez Mh.,90,2+1,17 Aralık  2025
9.000 TL,AtakentYenimahalle Mah.,33,1+1,17 Aralık  2025
32.000 TL,KurupelitKörfez Mh.,115,2+1,17 Aralık  2025
15.750 TL,KurupelitKörfez Mh.,55,1+1,17 Aralık  2025
26.000 TL,AtakumDenizevleri Mah.,95,2+1,17 Aralık  2025
12.500 TL,Altınkumİncesu Yalı Mh.,55,1+1,17 Aralık  2025
20.000 TL,AtakumCumhuriyet Mah.,120,2+1,18 Aralık  2025
14.000 TL,KurupelitKörfez Mh.,50,1+1,18 Aralık  2025
20.000 TL,AtakumEsenevler Mah.,100,2+1,18 Aralık  2025
36.000 TL,AtakentYenimahalle Mah.,156,3+1,18 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,65,1+1,17 Aralık  2025
19.000 TL,AtakentAtakent Mh.,100,2+1,17 Aralık  2025
27.500 TL,AtakentYenimahalle Mah.,150,3+1,17 Aralık  2025
36.000 TL,AtakumCumhuriyet Mah.,100,3+1,18 Aralık  2025
15.500 TL,KurupelitKörfez Mh.,75,2+1,20 Aralık  2025
11.000 TL,KurupelitKörfez Mh.,55,1+1,20 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,55,1+1,20 Aralık  2025
15.000 TL,KöylerBüyükoyumca Mh.,90,2+1,12 Aralık  2025
13.900 TL,KurupelitKörfez Mh.,50,1+1,19 Aralık  2025
16.000 TL,Atakumİstiklal Mh.,75,2+1,18 Aralık  2025
15.500 TL,AtakentAtakent Mh.,55,1+1,16 Aralık  2025
11.000 TL,AtakumCumhuriyet Mah.,100,3+1,16 Aralık  2025
16.750 TL,MerkezAlanlı Mh.,50,1+1,16 Aralık  2025
16.000 TL,AtakentYenimahalle Mah.,95,2+1,19 Aralık  2025
16.500 TL,KurupelitKörfez Mh.,57,1+1,20 Aralık  2025
15.000 TL,MerkezAlanlı Mh.,50,1+1,16 Aralık  2025
25.750 TL,AtakumMimarsinan Mah.,147,3+1,16 Aralık  2025
30.000 TL,AtakentYenimahalle Mah.,170,4+1,16 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,50,1+1,17 Aralık  2025
13.500 TL,KurupelitKörfez Mh.,55,1+1,17 Aralık  2025
14.000 TL,AtakumMevlana Mah.,55,1+1,16 Aralık  2025
17.000 TL,AtakentYenimahalle Mah.,90,2+1,18 Aralık  2025
19.000 TL,MerkezAlanlı Mh.,110,2+1,16 Aralık  2025
13.500 TL,KurupelitKörfez Mh.,70,1+1,16 Aralık  2025
30.000 TL,AtakumMimarsinan Mah.,50,1+1,17 Aralık  2025
18.000 TL,AtakumMimarsinan Mah.,130,3+1,17 Aralık  2025
14.750 TL,KurupelitKörfez Mh.,55,1+1,17 Aralık  2025
13.000 TL,KurupelitKörfez Mh.,55,1+1,17 Aralık  2025
19.500 TL,KöylerBalaç Mh.,55,1+1,16 Aralık  2025
11.500 TL,KurupelitKörfez Mh.,55,1+1,17 Aralık  2025
26.000 TL,AtakumMimarsinan Mah.,192,3+1,17 Aralık  2025
18.000 TL,AtakentYenimahalle Mah.,135,3+1,19 Aralık  2025
15.000 TL,AtakentYenimahalle Mah.,50,1+1,16 Aralık  2025
16.000 TL,KurupelitKörfez Mh.,80,1+1,17 Aralık  2025
11.000 TL,KurupelitKörfez Mh.,60,1+1,16 Aralık  2025
21.000 TL,KurupelitKörfez Mh.,60,1+1,22 Aralık  2025
13.250 TL,KurupelitKörfez Mh.,55,1+1,16 Aralık  2025
10.000 TL,KurupelitKörfez Mh.,60,1+1,16 Aralık  2025
16.000 TL,KurupelitKörfez Mh.,45,1+1,17 Aralık  2025
21.000 TL,AtakumCumhuriyet Mah.,110,2+1,16 Aralık  2025
20.000 TL,KurupelitKörfez Mh.,60,1+1,16 Aralık  2025
30.500 TL,Atakumİstiklal Mh.,170,3+1,16 Aralık  2025
12.500 TL,Atakumİstiklal Mh.,60,1+1,16 Aralık  2025
21.000 TL,KurupelitKörfez Mh.,53,1+1,16 Aralık  2025
13.000 TL,Atakumİstiklal Mh.,50,1+1,16 Aralık  2025
20.000 TL,AtakentYenimahalle Mah.,79,1+1,16 Aralık  2025
20.000 TL,AtakentYenimahalle Mah.,90,2+1,16 Aralık  2025
70.000 TL,AtakentGüzelyalı Mh.,370,6+2,17 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,60,1+1,16 Aralık  2025
13.250 TL,KurupelitKörfez Mh.,48,1+1,23 Aralık  2025
55.000 TL,AtakumCumhuriyet Mah.,350,3+2,16 Aralık  2025
30.000 TL,KöylerÇobanlı Mh.,165,3+1,16 Aralık  2025
35.500 TL,AtakentAtakent Mh.,150,3+1,16 Aralık  2025
28.000 TL,AtakumMimarsinan Mah.,120,3+1,17 Aralık  2025
9.000 TL,KurupelitKörfez Mh.,56,1+1,18 Aralık  2025
8.500 TL,KurupelitKörfez Mh.,50,1+1,18 Aralık  2025
22.500 TL,AtakentGüzelyalı Mh.,130,3+1,16 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,60,1+1,17 Aralık  2025
45.000 TL,AtakentAtakent Mh.,180,3+1,16 Aralık  2025
16.500 TL,KöylerBalaç Mh.,45,1+1,16 Aralık  2025
25.000 TL,AtakumEsenevler Mah.,190,4+1,16 Aralık  2025
13.000 TL,KurupelitKörfez Mh.,55,1+1,17 Aralık  2025
22.500 TL,AtakentAtakent Mh.,125,3+1,17 Aralık  2025
16.000 TL,AtakumMimarsinan Mah.,78,2+1,16 Aralık  2025
22.500 TL,Atakumİstiklal Mh.,100,2+1,17 Aralık  2025
28.000 TL,AtakentAtakent Mh.,130,3+1,18 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,55,1+1,16 Aralık  2025
16.500 TL,Altınkumİncesu Yalı Mh.,50,1+1,16 Aralık  2025
19.000 TL,AtakentYenimahalle Mah.,50,1+1,17 Aralık  2025
20.000 TL,AtakumÇakırlar Yalı Mh.,110,2+1,16 Aralık  2025
35.000 TL,AtakumCumhuriyet Mah.,160,3+1,16 Aralık  2025
20.000 TL,AtakentYenimahalle Mah.,95,2+1,17 Aralık  2025
14.250 TL,Altınkumİncesu Yalı Mh.,60,1+1,16 Aralık  2025
12.000 TL,KöylerBüyükoyumca Mh.,58,1+1,16 Aralık  2025
15.000 TL,AtakentYenimahalle Mah.,55,1+1,16 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,55,1+1,17 Aralık  2025
2.750 TL,KurupelitKörfez Mh.,70,1+1,16 Aralık  2025
13.000 TL,KurupelitKörfez Mh.,50,1+1,12 Aralık  2025
13.500 TL,Atakumİstiklal Mh.,50,1+1,16 Aralık  2025
24.000 TL,AtakumCumhuriyet Mah.,150,3+1,17 Aralık  2025
55.000 TL,KöylerKüçükkolpınar Mh.,270,4+1,16 Aralık  2025
16.500 TL,KurupelitKörfez Mh.,70,1+1,20 Aralık  2025
67.500 TL,KöylerBüyükoyumca Mh.,400,7+1,16 Aralık  2025
17.000 TL,MerkezAlanlı Mh.,100,2+1,16 Aralık  2025
19.500 TL,KurupelitKörfez Mh.,67,1+1,16 Aralık  2025
20.000 TL,AtakumMevlana Mah.,60,1+1,20 Aralık  2025
15.000 TL,KöylerBüyükoyumca Mh.,45,1+1,17 Aralık  2025
15.500 TL,KurupelitKörfez Mh.,55,1+1,16 Aralık  2025
13.650 TL,KurupelitKörfez Mh.,60,1+1,20 Aralık  2025
10.000 TL,KurupelitKörfez Mh.,55,1+1,19 Aralık  2025
25.750 TL,AtakumMimarsinan Mah.,150,3+1,16 Aralık  2025
19.000 TL,AtakumEsenevler Mah.,125,2+1,16 Aralık  2025
18.000 TL,KurupelitKörfez Mh.,110,2+1,17 Aralık  2025
14.500 TL,KurupelitKörfez Mh.,55,1+1,18 Aralık  2025
18.500 TL,AtakentYenimahalle Mah.,55,1+1,16 Aralık  2025
10.000 TL,KurupelitKörfez Mh.,45,1+1,17 Aralık  2025
22.000 TL,AtakentAtakent Mh.,140,3+1,16 Aralık  2025
25.900 TL,AtakentAtakent Mh.,140,3+1,17 Aralık  2025
20.000 TL,KurupelitKörfez Mh.,85,2+1,17 Aralık  2025
25.000 TL,AtakumCumhuriyet Mah.,115,2+1,17 Aralık  2025
19.000 TL,KurupelitKörfez Mh.,85,2+1,19 Aralık  2025
15.000 TL,AtakumBeypınar Mh.,50,1+1,16 Aralık  2025
15.000 TL,AtakumDenizevleri Mah.,100,2+1,16 Aralık  2025
13.000 TL,AtakentYenimahalle Mah.,55,1+1,18 Aralık  2025
20.000 TL,Atakumİstiklal Mh.,58,1+1,16 Aralık  2025
12.500 TL,KurupelitKörfez Mh.,60,1+1,19 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,50,1+1,17 Aralık  2025
12.000 TL,MerkezAlanlı Mh.,55,1+1,16 Aralık  2025
16.500 TL,KurupelitKörfez Mh.,55,1+1,20 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,65,1+1,16 Aralık  2025
16.500 TL,KurupelitKörfez Mh.,46,1+1,16 Aralık  2025
13.000 TL,KurupelitKörfez Mh.,85,2+1,16 Aralık  2025
16.500 TL,AtakumDenizevleri Mah.,140,3+1,16 Aralık  2025
16.900 TL,KurupelitKörfez Mh.,50,1+1,19 Aralık  2025
16.000 TL,Altınkumİncesu Yalı Mh.,55,1+1,15 Aralık  2025
18.500 TL,AtakentYenimahalle Mah.,55,1+1,16 Aralık  2025
10.000 TL,KurupelitKörfez Mh.,45,1+1,17 Aralık  2025
22.000 TL,AtakentAtakent Mh.,140,3+1,16 Aralık  2025
25.900 TL,AtakentAtakent Mh.,140,3+1,17 Aralık  2025
20.000 TL,KurupelitKörfez Mh.,85,2+1,17 Aralık  2025
25.000 TL,AtakumCumhuriyet Mah.,115,2+1,17 Aralık  2025
19.000 TL,KurupelitKörfez Mh.,85,2+1,19 Aralık  2025
15.000 TL,AtakumBeypınar Mh.,50,1+1,16 Aralık  2025
15.000 TL,AtakumDenizevleri Mah.,100,2+1,16 Aralık  2025
13.000 TL,AtakentYenimahalle Mah.,55,1+1,18 Aralık  2025
20.000 TL,Atakumİstiklal Mh.,58,1+1,16 Aralık  2025
12.500 TL,KurupelitKörfez Mh.,60,1+1,19 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,50,1+1,17 Aralık  2025
12.000 TL,MerkezAlanlı Mh.,55,1+1,16 Aralık  2025
16.500 TL,KurupelitKörfez Mh.,55,1+1,20 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,65,1+1,16 Aralık  2025
16.500 TL,KurupelitKörfez Mh.,46,1+1,16 Aralık  2025
16.500 TL,AtakumDenizevleri Mah.,140,3+1,16 Aralık  2025
16.900 TL,KurupelitKörfez Mh.,50,1+1,19 Aralık  2025
16.000 TL,Altınkumİncesu Yalı Mh.,55,1+1,15 Aralık  2025
18.500 TL,AtakentYenimahalle Mah.,55,1+1,16 Aralık  2025
10.000 TL,KurupelitKörfez Mh.,45,1+1,17 Aralık  2025
22.000 TL,AtakentAtakent Mh.,140,3+1,16 Aralık  2025
25.900 TL,AtakentAtakent Mh.,140,3+1,17 Aralık  2025
20.000 TL,KurupelitKörfez Mh.,85,2+1,17 Aralık  2025
25.000 TL,AtakumCumhuriyet Mah.,115,2+1,17 Aralık  2025
19.000 TL,KurupelitKörfez Mh.,85,2+1,19 Aralık  2025
22.000 TL,KurupelitKörfez Mh.,55,1+1,16 Aralık  2025
15.000 TL,AtakumBeypınar Mh.,50,1+1,16 Aralık  2025
15.000 TL,AtakumDenizevleri Mah.,100,2+1,16 Aralık  2025
13.000 TL,AtakentYenimahalle Mah.,55,1+1,18 Aralık  2025
20.000 TL,Atakumİstiklal Mh.,58,1+1,16 Aralık  2025
12.500 TL,KurupelitKörfez Mh.,60,1+1,19 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,50,1+1,17 Aralık  2025
12.000 TL,MerkezAlanlı Mh.,55,1+1,16 Aralık  2025
16.500 TL,KurupelitKörfez Mh.,55,1+1,20 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,65,1+1,16 Aralık  2025
16.500 TL,KurupelitKörfez Mh.,46,1+1,16 Aralık  2025
16.500 TL,AtakumDenizevleri Mah.,140,3+1,16 Aralık  2025
16.900 TL,KurupelitKörfez Mh.,50,1+1,19 Aralık  2025
16.000 TL,Altınkumİncesu Yalı Mh.,55,1+1,15 Aralık  2025
18.500 TL,AtakentYenimahalle Mah.,55,1+1,16 Aralık  2025
10.000 TL,KurupelitKörfez Mh.,45,1+1,17 Aralık  2025
22.000 TL,AtakentAtakent Mh.,140,3+1,16 Aralık  2025
25.900 TL,AtakentAtakent Mh.,140,3+1,17 Aralık  2025
20.000 TL,KurupelitKörfez Mh.,85,2+1,17 Aralık  2025
25.000 TL,AtakumCumhuriyet Mah.,115,2+1,17 Aralık  2025
19.000 TL,KurupelitKörfez Mh.,85,2+1,19 Aralık  2025
15.000 TL,AtakumBeypınar Mh.,50,1+1,16 Aralık  2025
20.000 TL,AtakumDenizevleri Mah.,140,3+1,16 Aralık  2025
15.000 TL,AtakumDenizevleri Mah.,100,2+1,16 Aralık  2025
13.000 TL,AtakentYenimahalle Mah.,55,1+1,18 Aralık  2025
20.000 TL,Atakumİstiklal Mh.,58,1+1,16 Aralık  2025
12.500 TL,KurupelitKörfez Mh.,60,1+1,19 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,50,1+1,17 Aralık  2025
12.000 TL,MerkezAlanlı Mh.,55,1+1,16 Aralık  2025
16.500 TL,KurupelitKörfez Mh.,55,1+1,20 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,65,1+1,16 Aralık  2025
16.500 TL,KurupelitKörfez Mh.,46,1+1,16 Aralık  2025
16.500 TL,AtakumDenizevleri Mah.,140,3+1,16 Aralık  2025
16.900 TL,KurupelitKörfez Mh.,50,1+1,19 Aralık  2025
16.000 TL,Altınkumİncesu Yalı Mh.,55,1+1,15 Aralık  2025
18.500 TL,AtakentYenimahalle Mah.,55,1+1,16 Aralık  2025
10.000 TL,KurupelitKörfez Mh.,45,1+1,17 Aralık  2025
22.000 TL,AtakentAtakent Mh.,140,3+1,16 Aralık  2025
25.900 TL,AtakentAtakent Mh.,140,3+1,17 Aralık  2025
20.000 TL,KurupelitKörfez Mh.,85,2+1,17 Aralık  2025
25.000 TL,AtakumCumhuriyet Mah.,115,2+1,17 Aralık  2025
19.000 TL,KurupelitKörfez Mh.,85,2+1,19 Aralık  2025
15.000 TL,AtakumBeypınar Mh.,50,1+1,16 Aralık  2025
15.000 TL,AtakumDenizevleri Mah.,100,2+1,16 Aralık  2025
13.000 TL,AtakentYenimahalle Mah.,55,1+1,18 Aralık  2025
20.000 TL,Atakumİstiklal Mh.,58,1+1,16 Aralık  2025
12.500 TL,KurupelitKörfez Mh.,60,1+1,19 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,50,1+1,17 Aralık  2025
12.000 TL,MerkezAlanlı Mh.,55,1+1,16 Aralık  2025
16.500 TL,KurupelitKörfez Mh.,55,1+1,20 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,65,1+1,16 Aralık  2025
16.500 TL,KurupelitKörfez Mh.,46,1+1,16 Aralık  2025
16.500 TL,AtakumDenizevleri Mah.,140,3+1,16 Aralık  2025
16.900 TL,KurupelitKörfez Mh.,50,1+1,19 Aralık  2025
16.000 TL,Altınkumİncesu Yalı Mh.,55,1+1,15 Aralık  2025
18.500 TL,AtakentYenimahalle Mah.,55,1+1,16 Aralık  2025
10.000 TL,KurupelitKörfez Mh.,45,1+1,17 Aralık  2025
