Fiyat,Lokasyon,m2,Oda,Tarih
18.000 TL,KurupelitKörfez Mh.,60,1+1,25 Aralık  2025
39.000 TL,AtakumMevlana Mah.,170,3+1,25 Aralık  2025
14.000 TL,KurupelitKörfez Mh.,45,1+1,25 Aralık  2025
15.500 TL,AtakentYenimahalle Mah.,55,1+1,25 Aralık  2025
12.500 TL,KurupelitKörfez Mh.,50,1+1,25 Aralık  2025
15.000 TL,AtakentYenimahalle Mah.,50,1+1,25 Aralık  2025
11.000 TL,KurupelitKörfez Mh.,55,1+1,26 Aralık  2025
13.000 TL,Atakumİstiklal Mh.,50,1+1,25 Aralık  2025
33.000 TL,AtakumMevlana Mah.,170,3+1,25 Aralık  2025
85.000 TL,KöylerBüyükoyumca Mh.,400,7+1,25 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,60,1+1,25 Aralık  2025
50.000 TL,KöylerKüçükkolpınar Mh.,150,2+1,25 Aralık  2025
18.000 TL,KurupelitKörfez Mh.,70,1+1,26 Aralık  2025
19.000 TL,Atakumİncesu Mh.,125,3+1,25 Aralık  2025
14.750 TL,AtakumCumhuriyet Mah.,70,1+1,25 Aralık  2025
17.000 TL,AtakumMevlana Mah.,52,1+1,25 Aralık  2025
17.000 TL,Atakumİstiklal Mh.,57,1+1,25 Aralık  2025
35.000 TL,AtakumBeypınar Mh.,150,3+1,25 Aralık  2025
14.000 TL,AtakentYenimahalle Mah.,55,1+1,26 Aralık  2025
14.000 TL,AtakumYeşildere Mh.,55,1+1,25 Aralık  2025
15.000 TL,KöylerBüyükoyumca Mh.,44,1+1,25 Aralık  2025
30.000 TL,KurupelitKörfez Mh.,48,Stüdyo (1+0),25 Aralık  2025
26.000 TL,AtakentGüzelyalı Mh.,150,3+1,25 Aralık  2025
27.000 TL,KurupelitKörfez Mh.,190,3+1,25 Aralık  2025
14.500 TL,KurupelitKörfez Mh.,55,1+1,26 Aralık  2025
19.000 TL,AtakumMevlana Mah.,110,2+1,25 Aralık  2025
16.000 TL,AtakentYenimahalle Mah.,95,2+1,25 Aralık  2025
20.500 TL,KöylerÇobanlı Mh.,100,2+1,25 Aralık  2025
17.000 TL,AtakumCumhuriyet Mah.,130,3+1,25 Aralık  2025
11.250 TL,Atakumİstiklal Mh.,53,1+1,25 Aralık  2025
12.000 TL,AtakentYenimahalle Mah.,50,1+1,25 Aralık  2025
15.000 TL,KurupelitKörfez Mh.,50,1+1,25 Aralık  2025
17.000 TL,AtakentYenimahalle Mah.,75,2+1,25 Aralık  2025
16.750 TL,AtakentYenimahalle Mah.,55,1+1,25 Aralık  2025
15.500 TL,KurupelitKörfez Mh.,55,1+1,25 Aralık  2025
12.500 TL,KurupelitKörfez Mh.,50,1+1,25 Aralık  2025
18.000 TL,AtakumBeypınar Mh.,78,2+1,24 Aralık  2025
17.500 TL,KurupelitKörfez Mh.,55,1+1,24 Aralık  2025
23.000 TL,AtakumCumhuriyet Mah.,60,1+1,24 Aralık  2025
32.500 TL,KurupelitKörfez Mh.,130,3+1,24 Aralık  2025
30.000 TL,AtakentGüzelyalı Mh.,55,1+1,24 Aralık  2025
13.750 TL,KurupelitKörfez Mh.,60,1+1,25 Aralık  2025
15.500 TL,AtakentAtakent Mh.,60,1+1,24 Aralık  2025
15.000 TL,Altınkumİncesu Yalı Mh.,50,1+1,24 Aralık  2025
20.000 TL,AtakumCumhuriyet Mah.,55,1+1,24 Aralık  2025
23.000 TL,Atakumİstiklal Mh.,80,2+1,24 Aralık  2025
14.500 TL,KurupelitKörfez Mh.,55,1+1,24 Aralık  2025
20.000 TL,KurupelitKörfez Mh.,96,2+1,24 Aralık  2025
21.500 TL,AtakentYenimahalle Mah.,90,2+1,24 Aralık  2025
27.500 TL,KöylerKüçükkolpınar Mh.,95,2+1,24 Aralık  2025
14.000 TL,KurupelitKörfez Mh.,50,1+1,24 Aralık  2025
21.000 TL,KurupelitKörfez Mh.,62,1+1,24 Aralık  2025
17.000 TL,KurupelitKörfez Mh.,45,1+1,24 Aralık  2025
22.500 TL,AtakumEsenevler Mah.,65,1+1,24 Aralık  2025
11.000 TL,AtakentYenimahalle Mah.,60,1+1,24 Aralık  2025
16.000 TL,Atakumİstiklal Mh.,45,1+1,24 Aralık  2025
22.500 TL,KurupelitKörfez Mh.,90,2+1,25 Aralık  2025
17.500 TL,KurupelitKörfez Mh.,65,1+1,24 Aralık  2025
16.000 TL,KurupelitKörfez Mh.,60,1+1,24 Aralık  2025
15.000 TL,AtakumDenizevleri Mah.,110,2+1,24 Aralık  2025
13.000 TL,KurupelitKörfez Mh.,50,1+1,18 Aralık  2025
25.000 TL,KurupelitKörfez Mh.,85,2+1,24 Aralık  2025
25.000 TL,AtakentYenimahalle Mah.,135,3+1,24 Aralık  2025
18.500 TL,AtakentYenimahalle Mah.,55,1+1,24 Aralık  2025
27.000 TL,AtakumCumhuriyet Mah.,105,2+1,24 Aralık  2025
17.250 TL,AtakumMevlana Mah.,55,1+1,24 Aralık  2025
35.000 TL,Atakumİstiklal Mh.,155,3+1,24 Aralık  2025
